timestamp,bpm,source
2026-01-21 20:35:54+00:00,77,awake
2026-01-21 20:36:37+00:00,80,awake
2026-01-21 20:36:59+00:00,74,awake
2026-01-21 20:54:36+00:00,66,awake
2026-01-21 20:55:01+00:00,68,awake
2026-01-21 20:55:04+00:00,72,awake
2026-01-21 21:13:27+00:00,65,awake
2026-01-21 21:13:29+00:00,69,awake
2026-01-21 21:13:30+00:00,77,awake
2026-01-21 21:17:13+00:00,65,awake
2026-01-21 21:17:23+00:00,67,awake
2026-01-21 21:17:54+00:00,70,awake
2026-01-21 21:26:55+00:00,63,awake
2026-01-21 21:27:29+00:00,65,awake
2026-01-21 21:27:37+00:00,68,awake
2026-01-21 21:32:52+00:00,67,awake
2026-01-21 21:32:58+00:00,74,awake
2026-01-21 21:33:23+00:00,70,awake
2026-01-21 22:06:57+00:00,64,awake
2026-01-21 22:07:23+00:00,62,awake
2026-01-21 22:07:55+00:00,67,awake
2026-01-21 22:36:46+00:00,64,awake
2026-01-21 22:36:59+00:00,70,awake
2026-01-21 22:37:00+00:00,66,awake
2026-01-21 22:39:27+00:00,59,awake
2026-01-21 22:39:29+00:00,63,awake
2026-01-21 22:39:30+00:00,60,awake
2026-01-21 23:15:00+00:00,61,awake
2026-01-21 23:15:47+00:00,64,awake
2026-01-21 23:25:30+00:00,97,workout
2026-01-21 23:25:40+00:00,98,workout
2026-01-21 23:25:50+00:00,99,workout
2026-01-21 23:26:00+00:00,100,workout
2026-01-21 23:26:10+00:00,101,workout
2026-01-21 23:26:20+00:00,101,workout
2026-01-21 23:26:30+00:00,102,workout
2026-01-21 23:26:40+00:00,103,workout
2026-01-21 23:26:50+00:00,104,workout
2026-01-21 23:26:56.800000+00:00,102,workout
2026-01-21 23:27:01.800000+00:00,103,workout
2026-01-21 23:27:06.800000+00:00,104,workout
2026-01-21 23:27:11.800000+00:00,105,workout
2026-01-21 23:27:16.800000+00:00,105,workout
2026-01-21 23:27:21.800000+00:00,105,workout
2026-01-21 23:27:26.800000+00:00,106,workout
2026-01-21 23:27:31.800000+00:00,106,workout
2026-01-21 23:27:36.800000+00:00,107,workout
2026-01-21 23:27:41.800000+00:00,107,workout
2026-01-21 23:27:46.800000+00:00,107,workout
2026-01-21 23:27:51.800000+00:00,106,workout
2026-01-21 23:27:56.800000+00:00,107,workout
2026-01-21 23:28:01.800000+00:00,107,workout
2026-01-21 23:28:06.800000+00:00,108,workout
2026-01-21 23:28:11.800000+00:00,108,workout
2026-01-21 23:28:16.800000+00:00,107,workout
2026-01-21 23:28:21.800000+00:00,107,workout
2026-01-21 23:28:26.800000+00:00,107,workout
2026-01-21 23:28:31.800000+00:00,107,workout
2026-01-21 23:28:36.800000+00:00,107,workout
2026-01-21 23:28:41.800000+00:00,107,workout
2026-01-21 23:28:46.800000+00:00,107,workout
2026-01-21 23:28:51.800000+00:00,107,workout
2026-01-21 23:28:56.800000+00:00,107,workout
2026-01-21 23:29:01.800000+00:00,107,workout
2026-01-21 23:29:06.800000+00:00,106,workout
2026-01-21 23:29:11.800000+00:00,106,workout
2026-01-21 23:29:16.800000+00:00,106,workout
2026-01-21 23:29:21.800000+00:00,106,workout
2026-01-21 23:29:26.800000+00:00,105,workout
2026-01-21 23:29:31.800000+00:00,105,workout
2026-01-21 23:29:36.800000+00:00,106,workout
2026-01-21 23:29:41.800000+00:00,106,workout
2026-01-21 23:29:46.800000+00:00,107,workout
2026-01-21 23:29:51.800000+00:00,107,workout
2026-01-21 23:29:56.800000+00:00,108,workout
2026-01-21 23:30:01.800000+00:00,107,workout
2026-01-21 23:30:06.800000+00:00,107,workout
2026-01-21 23:30:11.800000+00:00,107,workout
2026-01-21 23:30:16.800000+00:00,107,workout
2026-01-21 23:30:21.800000+00:00,107,workout
2026-01-21 23:30:26.800000+00:00,107,workout
2026-01-21 23:30:31.800000+00:00,106,workout
2026-01-21 23:30:36.800000+00:00,106,workout
2026-01-21 23:30:41.800000+00:00,106,workout
2026-01-21 23:30:46.800000+00:00,106,workout
2026-01-21 23:30:51.800000+00:00,105,workout
2026-01-21 23:30:56.800000+00:00,104,workout
2026-01-21 23:31:01.800000+00:00,104,workout
2026-01-21 23:31:06.800000+00:00,104,workout
2026-01-21 23:31:11.800000+00:00,104,workout
2026-01-21 23:31:16.800000+00:00,104,workout
2026-01-21 23:31:21.800000+00:00,105,workout
2026-01-21 23:31:26.800000+00:00,105,workout
